idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
0,5,0.9252920952404048,0.3702631623762947,1.4633983004052769,0.9124686317526872,2.469799018605442,0,0,0,230,0.0,1
1,11,0.4277894162781668,0.8664445301545485,4.063806590775527,5.736255144285062,5.3421506526981375,1,0,0,300,0.0,1
2,9,0.9586182638806484,0.6106423095911732,2.7720154979322453,2.844410581413076,4.204232337149487,0,1,0,250,0.0,1
3,3,0.378140960548136,0.4084594003242971,4.668616765700503,1.6250941634149487,1.2493862775880251,1,0,1,220,0.0,1
4,2,0.6809295627011854,0.7382580386245149,4.664306291786109,0.3866556014499009,2.1318652770434148,0,1,0,280,0.0,6
5,7,0.8879565342046226,0.6355216206590484,2.346382942637822,4.407342854239022,4.904096720293759,1,0,1,250,0.0,1
6,10,0.6017811670174213,0.7612463616557377,3.5084094640610592,4.776386951772694,4.038857434603282,0,0,0,200,0.0,1
7,5,0.3403608902029972,1.038313392388354,0.6253337941849667,3.068668218115085,0.3536209401660544,1,0,0,270,0.0,1
8,4,0.972493491558252,0.6362658791946193,1.9119055181979547,5.399027465901747,0.3023994088922069,0,1,0,210,0.0,1
9,10,0.962951760298516,0.6779055943018766,5.333709270956176,1.9760625063828945,3.476757226700569,1,0,1,260,0.0,2
10,7,0.5962385332819629,0.7278297344836202,0.8694245122351034,1.1421344602140968,5.8577436059739085,0,0,0,290,0.0,2
11,2,0.6640753423419409,0.9021502175658868,3.67897843145894,1.9491974460728805,2.1982709157980627,1,0,0,230,0.0,1
12,4,0.7917059903759504,0.4356240093402045,4.514558168172504,3.9170909228267177,1.4331511174433,0,0,0,270,0.0,2
13,8,0.4265678239857469,1.0883908689409334,1.0276626140334078,0.6206905777590055,4.724566668523755,1,0,0,210,0.0,1
14,11,0.9611361933005768,0.3318117853840105,5.248678517715691,3.020614834176247,4.54126824320042,0,1,0,240,0.0,1
15,6,0.441892650097854,0.7058047211690192,2.850580904420113,5.13460153089439,2.0470923045133387,1,0,1,290,0.0,1
16,6,0.6460414786496154,0.4171955224945461,3.4867785973388954,2.0774036396578213,4.194016705343931,1,1,1,250,0.0,1
17,11,0.354934618391342,0.4154744446149577,0.3819498220744364,3.406893247944179,1.4122409525870707,0,0,0,280,0.0,1
18,8,1.1149327629098935,0.7730691163142405,4.973631431416151,4.219004418098134,1.924958796197376,1,0,0,270,0.0,1
19,3,1.1371901678327836,1.133604780025876,2.152976449965613,1.753954927120879,4.754121532152876,0,0,0,200,0.0,2
20,1,0.7443628134492816,0.984496882464538,2.61194395303373,2.937993498315842,3.467657932996927,1,0,0,300,0.0,1
21,8,0.3960960408558414,0.817441652384651,4.373339676759895,3.448591031591727,3.710975308873063,0,0,0,230,0.0,1
22,11,1.0109030284417326,0.9781173247363806,1.7320060803337236,4.238657519492407,3.0679616519138744,1,1,1,220,0.0,1
