idx,m,a,b,n1,n2,n3,invert,vsplit,hsplit,periodicity,pixel_error,attempts
103,5,0.9674528203152756,0.751662959010059,1.7764761726917122,4.769899908097233,4.496322896608832,1,0,0,260,0.0,1
55,4,0.5470728355357621,0.918485829885403,1.4631020345892436,1.284992885789144,1.1998766837325445,1,1,0,250,0.0,4
809,10,0.28075282392192985,1.016030313539691,5.569902094322927,5.7097878271769025,4.480720504602402,1,0,0,210,0.0,1
283,2,0.43099232050194675,1.1747447850715775,2.6962255980354883,1.0673416654950543,4.126306255097628,0,0,0,210,0.0,1
808,4,1.044553423091477,0.37608757364067713,2.9167723035630164,2.3621070433603415,1.9292473951593072,0,1,0,260,0.0,1
481,12,1.0928207567478025,0.5306787868553912,3.302432139228256,2.871738803051416,5.029684602957048,0,0,0,250,0.0,1
572,2,0.7001891715812363,0.4037343114979088,2.708409556713549,4.16475533537921,4.295845339459171,1,0,0,240,0.0,1
560,6,1.0273619619064989,0.3998848458476307,5.371227841503662,2.139001358055919,5.398659405071391,1,0,0,260,0.0,5
338,8,0.75144266066639,0.41973688997708203,2.6513728607529568,4.373403512718152,0.32278316185065137,0,0,1,290,0.0008,6
759,4,0.45569430946718675,0.9433434093085515,1.334455706125078,0.7370680102436906,1.4897898789795458,0,0,0,270,0.0,1
121,10,0.6026230889908767,0.8413853519623713,1.4062616037718407,3.7657713617730733,4.869048445859402,0,0,1,280,0.0,1
803,3,0.5609103264561269,1.002741464650707,4.776495981848147,3.119762905435081,3.28842285504969,1,0,0,260,0.0,1
868,2,0.8617221189168996,0.8188448982174106,1.4522877386734092,1.159623029552303,1.872956387428565,1,1,0,240,0.0,2
391,5,0.44223585522070463,0.9967547242494523,3.283857472679983,1.9565553815474828,3.6705529105690067,0,1,0,210,0.0,1
98,9,1.1263517639745482,0.4179387016263845,1.20498170842571,1.6358385333739465,0.4053899976802571,0,0,0,260,0.0,3
967,5,0.2660190598407392,0.5368499884636247,2.028297432697439,3.6478332149709023,0.5706069670191639,0,0,0,280,0.0,1
956,3,1.0095069340054237,0.492383296303002,0.9125086646850922,3.3168021866339683,0.7706223275348275,0,1,0,300,0.0,1
652,3,0.5762024060899457,0.9744373524262183,2.96897205787849,0.3140044879092469,0.667513996768702,0,1,1,250,0.0,1
872,4,0.9815407941247989,0.7047823633385851,3.8884990323704374,4.4754971563676085,0.9642852910350299,1,1,0,250,0.0,1
20,1,0.7443628134492816,0.9844968824645381,2.61194395303373,2.937993498315842,3.467657932996927,1,0,0,300,0.0,1
289,12,0.732799201049012,1.0969213198343333,2.4528306821188197,0.3174842994286099,1.3114091139131385,0,0,0,270,0.0,2
931,3,0.7415633739209273,0.6418223749354559,4.77291644649116,2.468277197435611,4.810625300700529,0,0,0,230,0.0004,6
554,8,0.6613436307693981,0.9758179016492804,2.3267972530317746,1.9824894464400338,3.4241124782022396,0,0,0,210,0.0,2
373,7,0.7179143884873918,0.9515832801348135,5.289610717330017,4.297705123908597,3.4224424889235143,0,0,0,210,0.0,1
906,7,0.9479338451803634,0.7829871647414501,3.188451274617914,1.7455812353658093,4.925288925704332,0,0,0,250,0.0,2
146,8,0.59311955618136,0.4921423742740309,5.02457702988695,0.4613419742573597,5.7384858167347685,0,0,0,240,0.0,5
224,6,1.0652505314773624,0.37789404003125554,2.9385752060451287,3.2795449267171612,2.136211737463604,1,0,1,250,0.001,6
497,11,0.35127913682645723,0.8598277194907427,1.9496159991990192,0.5644536376112004,0.5153693650646436,1,0,0,230,0.0008,6
239,6,0.37276080140218754,0.650297339808801,1.031661295765142,4.158953692451875,1.920156044480827,0,1,0,210,0.0,1
131,3,0.3531036787754602,0.6897007510452381,5.152044708122824,5.093396795782355,3.7676796126996157,0,0,1,290,0.0,1
218,7,0.7875395673930818,0.683782840518186,1.7218890737832966,0.9872752347360497,4.939642067516139,1,1,0,210,0.0,1
995,3,0.39493912418733995,0.8202021260091604,1.2619200646342612,5.461332517494692,4.646874475971599,1,0,0,230,0.0,1
933,7,0.6397209346548568,0.5985901055618268,2.1275421242679338,5.368820985688657,1.0055436798378687,0,0,0,200,0.0,1
291,3,0.3824841868458968,0.7614710900668775,1.3439859065128987,4.860483268844815,4.937817175011137,0,0,0,250,0.0,1
245,7,0.6346097881518643,0.8239728219153006,3.4738999153359567,3.4098551491489553,1.0348107354882878,1,0,1,250,0.0,1
175,6,0.949011574453312,0.7127126416687989,4.892975415590405,0.630088949002331,1.4120507011151675,1,1,0,200,0.0,1
379,2,0.3189172746154039,0.7729367726089701,1.4620576368437446,3.576242003442204,1.2581521210660767,0,0,0,220,0.0,1
829,9,0.3576812226452608,1.0150774210034441,3.5670100817024863,4.241208492621628,2.686789348236527,0,0,0,260,0.0,1
538,7,1.0287079033724715,0.4217992568643303,2.2747715150836756,0.3768230159418767,4.518498892613879,0,0,0,220,0.0,2
378,7,1.077192867294246,0.3055508568674156,3.6846335012069322,2.726935770258333,3.6928235016626614,1,0,1,250,0.0,1
328,4,1.0917624052140145,0.9284868352289068,4.917619396545207,4.403672608003745,1.6357257361587725,1,0,0,250,0.0,2
782,11,1.0055062684438307,0.5249911643905889,2.2190794279436954,5.5215892256531625,1.7191642892553902,1,0,0,280,0.0,3
126,11,1.0740303742053463,0.35850695318449743,0.42032534063483845,5.186381352412364,2.890739176573589,1,0,0,220,0.0,6
835,3,0.5136541875571987,0.6463996881698354,3.4209353438484045,1.2602378910595105,4.616585716633219,1,1,0,260,0.0,4
786,8,0.8415624062302609,0.583650719454516,2.923606762568724,2.7374936576115294,4.7337805879969235,0,0,0,200,0.0,1
594,8,0.9932656540958443,0.3589151855647709,4.931082253173325,2.907391293699951,2.866395439660776,1,1,1,230,0.0,1
964,2,1.0721902331976023,0.3654195259853414,3.0688163994107005,4.986687651558892,1.2938491646393264,1,0,1,280,0.0,1
536,5,0.9685240410253914,0.30907216282583694,0.45499543688634714,3.851401552784689,1.6818893595891982,0,1,0,290,0.0,1
51,4,0.6138290737505924,0.8276452679767259,4.626611041050253,2.9867844522605638,0.35680686132638617,1,0,0,200,0.0,4
168,4,1.1665748157719893,0.32963560485344867,5.5698781889287385,5.383194795200179,2.804526746803999,0,0,0,300,0.0,1
718,11,1.0852751933496374,0.6373206267695725,5.522793395004555,1.967381549407257,4.386596750902974,1,0,0,230,0.0,1
61,9,0.8793325646454001,0.49087045530408097,0.8628226592493231,2.202023623045918,4.20466070436259,1,1,0,210,0.0,4
210,8,0.7255936605753678,0.772893950816359,1.4753921100460812,3.3160674866714746,4.152289055554926,1,0,0,250,0.0,1
169,10,1.1446384573249972,1.1602733124722784,2.4779273402818753,3.4620239687010548,5.8980207137400305,1,1,0,220,0.0002,6
478,12,0.45704936138510793,0.3966103522720454,5.233615506781408,3.642213320142991,5.38503184902377,1,0,1,290,0.0,1
952,5,0.859359340331489,0.8213499830790556,4.2863075692889945,3.9104868291865467,1.4164188507808606,0,0,1,250,0.0006,6
899,3,0.2817201399706013,1.1507746811094282,2.412404783143371,2.318072797058308,0.8106607078364525,1,1,1,240,0.0,1
264,4,0.9637388876883677,0.7884570034795899,0.7004881345156485,1.2632947787150264,0.6761963625305069,0,0,0,240,0.0,3
601,9,0.45985774811781405,0.6261260952910814,1.9119534546537553,5.686169037742625,3.4551729066008026,0,0,0,220,0.0,1
485,7,0.9455369109376845,0.9371507645682312,2.645347131872346,1.8218068875621791,5.205754451474863,0,0,1,300,0.0,1
394,7,1.0071353720310847,0.7317164478072509,2.675028131221488,0.5582402063547814,2.055389105658134,1,0,1,250,0.0,2
344,4,0.859580918215003,0.9599202280514796,2.258903659997981,4.8986095892255,3.6644361618175587,0,0,1,220,0.0,1
256,5,1.0660855607550506,0.7529307261312002,2.6558318054851493,3.230091365690291,2.8507956734266107,0,0,1,200,0.0,1
287,5,0.7257790735294856,0.8811032399534013,3.2412712311074428,2.683852701850059,3.220941067712406,0,1,1,270,0.0,1
60,2,0.7215365644592228,0.756140613881347,3.3450713066831863,5.558759058052503,1.1622783227525086,0,0,0,260,0.0,2
457,10,0.42038013767629095,0.5204533666654031,2.9700704623668472,5.309400146731115,3.110096369267601,1,0,0,210,0.0,1
518,10,0.9689480094112625,0.27976975131051585,2.3114979866232273,2.6402265118357393,1.315936132517562,1,1,1,300,0.0,2
329,10,0.9962062745310709,0.26905053739838514,1.9930781300187983,1.690273095675709,4.501760589022454,0,0,0,280,0.0,2
70,10,0.8922601657684347,0.3798364441088947,1.8436755062980439,1.8944942009561416,5.876502893135343,1,0,0,210,0.0,4
940,3,0.7086923349391581,0.9723612953018003,4.49129300059097,5.947649834908217,4.872355447984297,1,0,0,280,0.0,1
